Points:0,Points:1,Points:2
2.70495,0.117188,0
2.70537,0.109375,0
2.70493,0.125,0
2.70609,0.101562,0
2.70625,0.100235,0
2.70703,0.09375,0
2.70542,0.132812,0
2.70811,0.0859375,0
2.70625,0.138594,0
2.70655,0.140625,0
2.70926,0.078125,0
2.71044,0.0703125,0
2.71158,0.0625,0
2.70842,0.148438,0
2.71265,0.0546875,0
2.71362,0.046875,0
2.71406,0.0428457,0
2.71448,0.0390625,0
2.71519,0.03125,0
2.7112,0.15625,0
2.71575,0.0234375,0
2.71616,0.015625,0
2.7164,0.0078125,0
2.71649,0,0
2.71406,0.161888,0
2.71526,0.164062,0
2.72034,0.171875,0
2.72187,0.173634,0
2.72751,0.179688,0
2.72969,0.18173,0
2.73733,0.1875,0
2.7375,0.187634,0
2.74531,0.19246,0
2.75077,0.195312,0
2.75312,0.196597,0
2.76094,0.199917,0
2.76875,0.202821,0
2.76961,0.203125,0
2.77656,0.205417,0
2.78437,0.207712,0
2.79219,0.20978,0
2.8,0.210783,0
2.8,0.212614,0
2.80781,0.213457,0
2.81562,0.215086,0
2.82344,0.216604,0
2.83125,0.21801,0
2.83563,0.21875,0
2.83906,0.219332,0
2.84687,0.220528,0
2.85469,0.221635,0
2.8625,0.222656,0
2.87031,0.223596,0
2.87812,0.224459,0
2.88594,0.225244,0
2.89375,0.225954,0
2.90123,0.226562,0
2.90156,0.22659,0
2.90937,0.227149,0
2.91719,0.227638,0
2.925,0.227864,0
2.925,0.228253,0
2.93281,0.228416,0
2.94062,0.228712,0
2.94844,0.228945,0
2.95625,0.229118,0
2.96406,0.229228,0
2.97187,0.229276,0
2.97969,0.229261,0
2.9875,0.229183,0
2.99531,0.229043,0
3.00312,0.228839,0
3.01094,0.228574,0
3.01875,0.228247,0
3.02656,0.227859,0
3.03437,0.227414,0
3.04219,0.226914,0
3.04712,0.226562,0
3.05,0.226356,0
3.05781,0.225745,0
3.06562,0.225071,0
3.07344,0.224335,0
3.08125,0.223525,0
3.08906,0.222627,0
3.09687,0.221639,0
3.10469,0.220576,0
3.1125,0.219457,0
3.11714,0.21875,0
3.12031,0.218262,0
3.12812,0.217013,0
3.13594,0.215683,0
3.14375,0.214281,0
3.15156,0.212813,0
3.15937,0.211293,0
3.16106,0.210938,0
3.16719,0.209677,0
3.175,0.207987,0
3.18281,0.206196,0
3.19062,0.204316,0
3.19524,0.203125,0
3.19844,0.202288,0
3.20625,0.200197,0
3.21406,0.197982,0
3.22187,0.195701,0
3.22307,0.195312,0
3.22969,0.193281,0
3.2375,0.190782,0
3.24531,0.188213,0
3.24727,0.1875,0
3.25312,0.185456,0
3.26094,0.182631,0
3.26872,0.179688,0
3.26875,0.179674,0
3.27656,0.176586,0
3.28437,0.173402,0
3.28779,0.171875,0
3.29219,0.169931,0
3.3,0.166467,0
3.30499,0.164062,0
3.30781,0.162653,0
3.31562,0.158873,0
3.32055,0.15625,0
3.32344,0.154651,0
3.33125,0.150521,0
3.33468,0.148438,0
3.33906,0.145809,0
3.34687,0.141156,0
3.34762,0.140625,0
3.35469,0.136081,0
3.35928,0.132812,0
3.3625,0.130441,0
3.37004,0.125,0
3.37031,0.124779,0
3.37812,0.118833,0
3.38001,0.117188,0
3.38594,0.112138,0
3.38892,0.109375,0
3.39375,0.104818,0
3.39703,0.101562,0
3.40156,0.0968504,0
3.40446,0.09375,0
3.40937,0.0879833,0
3.41115,0.0859375,0
3.41685,0.078125,0
3.41719,0.077724,0
3.42217,0.0703125,0
3.42499,0.0625,0
3.425,0.0624775,0
3.43029,0.0546875,0
3.43281,0.0506812,0
3.43456,0.046875,0
3.43743,0.0390625,0
3.43979,0.03125,0
3.44062,0.0277788,0
3.44166,0.0234375,0
3.44296,0.015625,0
3.44375,0.0078125,0
3.44401,0,0
