Points_0,Points_1,Points_2,Point ID
14.9977,-0.275751,0,0
15,-0.278248,0,1
14.9967,-0.273438,0,2
14.9753,-0.239548,0,3
14.9805,-0.248618,0,4
14.9728,-0.234375,0,5
14.99,-0.263916,0,6
14.9834,-0.253906,0,7
14.9826,-0.251796,0,8
14.9559,-0.200332,0,9
14.9609,-0.211717,0,10
14.9539,-0.195312,0,11
14.9395,-0.158183,0,12
14.9414,-0.164025,0,13
14.9391,-0.15625,0,14
14.95,-0.186763,0,15
14.945,-0.175781,0,16
14.9442,-0.172966,0,17
14.9686,-0.226698,0,18
14.9623,-0.214844,0,19
14.962,-0.21376,0,20
14.9203,-0.0797419,0,21
14.9219,-0.0909147,0,22
14.9201,-0.078125,0,23
14.9178,-0.0626343,0,24
14.9173,-0.0585938,0,25
14.9159,-0.0450266,0,26
14.9154,-0.0390625,0,27
14.9219,-0.0276645,0,28
14.914,-0.00788151,0,29
14.9219,-0.0124688,0,30
14.9139,0,0,31
14.9348,-0.143318,0,32
14.9328,-0.136719,0,33
14.9303,-0.128328,0,34
14.9271,-0.117188,0,35
14.9261,-0.112942,0,36
14.9228,-0.0976562,0,37
14.9227,-0.0967885,0,38
15.0319,-0.319658,0,39
15.0391,-0.327322,0,40
15.0261,-0.3125,0,41
15.0705,-0.359189,0,42
15.0781,-0.365801,0,43
15.0627,-0.351562,0,44
15.0506,-0.340015,0,45
15.0586,-0.347654,0,46
15.0433,-0.332031,0,47
15.0417,-0.329423,0,48
15.0609,-0.349217,0,49
15.1131,-0.394701,0,50
15.1172,-0.39702,0,51
15.1085,-0.390625,0,52
15.1364,-0.410521,0,53
15.1367,-0.410634,0,54
15.136,-0.410156,0,55
15.1248,-0.402505,0,56
15.1481,-0.418271,0,57
15.1562,-0.423212,0,58
15.0912,-0.377519,0,59
15.0977,-0.382328,0,60
15.0842,-0.371094,0,61
15.0813,-0.367893,0,62
15.1026,-0.3857,0,63
15.2708,-0.471353,0,64
15.2734,-0.471828,0,65
15.2597,-0.46875,0,66
15.2872,-0.474474,0,67
15.293,-0.475264,0,68
15.3053,-0.475907,0,69
15.3125,-0.475961,0,70
15.173,-0.432455,0,71
15.1758,-0.433485,0,72
15.1685,-0.429688,0,73
15.1858,-0.439209,0,74
15.1953,-0.444286,0,75
15.1606,-0.425323,0,76
15.2125,-0.451537,0,77
15.2148,-0.452198,0,78
15.2074,-0.449219,0,79
15.1989,-0.445637,0,80
15.2263,-0.457291,0,81
15.2344,-0.460627,0,82
15.2403,-0.462821,0,83
15.2539,-0.467427,0,84
15.255,-0.467625,0,85
15.0142,-0.298325,0,86
15.0195,-0.304367,0,87
15.0106,-0.292969,0,88
15.0062,-0.286805,0,89
15.0235,-0.308524,0,90
15.3256,-0.475196,0,91
15.332,-0.474678,0,92
15.3473,-0.472967,0,93
15.3516,-0.472466,0,94
15.37,-0.469888,0,95
15.3711,-0.469758,0,96
15.377,-0.46875,0,97
15.3906,-0.466506,0,98
15.3932,-0.466178,0,99
15.4102,-0.463983,0,100
15.4156,-0.463305,0,101
15.4297,-0.461588,0,102
15.4378,-0.460665,0,103
15.4492,-0.459406,0,104
15.4596,-0.458371,0,105
15.4688,-0.457505,0,106
15.481,-0.456486,0,107
15.4883,-0.455922,0,108
15.502,-0.455026,0,109
15.5078,-0.454682,0,110
15.5226,-0.453999,0,111
15.5273,-0.453808,0,112
15.5427,-0.453394,0,113
15.5469,-0.453308,0,114
15.5624,-0.453187,0,115
15.5664,-0.45318,0,116
15.5818,-0.453347,0,117
15.5859,-0.453416,0,118
15.6008,-0.453842,0,119
15.6055,-0.454,0,120
15.6196,-0.454636,0,121
15.625,-0.454909,0,122
15.6381,-0.455689,0,123
15.6445,-0.456105,0,124
15.6563,-0.45695,0,125
15.6641,-0.457531,0,126
15.6744,-0.458363,0,127
15.6836,-0.459116,0,128
15.6925,-0.45987,0,129
15.7031,-0.460783,0,130
15.7105,-0.461412,0,131
15.7227,-0.462447,0,132
15.7285,-0.462923,0,133
15.7422,-0.464006,0,134
15.7466,-0.464327,0,135
15.7617,-0.465356,0,136
15.7649,-0.465545,0,137
15.7812,-0.466416,0,138
15.7835,-0.466511,0,139
15.8008,-0.467135,0,140
15.8024,-0.467174,0,141
15.8203,-0.467499,0,142
15.8216,-0.467508,0,143
15.8398,-0.467526,0,144
15.8411,-0.467515,0,145
15.8594,-0.467256,0,146
15.8609,-0.467221,0,147
15.8789,-0.466741,0,148
15.881,-0.466671,0,149
15.8984,-0.466043,0,150
15.9013,-0.465929,0,151
15.918,-0.465236,0,152
15.9216,-0.465077,0,153
15.9375,-0.464385,0,154
15.9421,-0.464185,0,155
15.957,-0.463536,0,156
15.9625,-0.463305,0,157
15.9766,-0.46272,0,158
15.9828,-0.462472,0,159
15.9961,-0.461962,0,160
16.0031,-0.461708,0,161
16.0156,-0.461273,0,162
16.0234,-0.461023,0,163
16.0352,-0.460656,0,164
16.0435,-0.460416,0,165
16.0547,-0.460105,0,166
16.0636,-0.459879,0,167
16.0742,-0.459617,0,168
16.0836,-0.459407,0,169
16.0938,-0.459189,0,170
16.1035,-0.458999,0,171
16.1133,-0.458818,0,172
16.1234,-0.458648,0,173
16.1328,-0.458497,0,174
16.1432,-0.458344,0,175
16.1523,-0.458215,0,176
16.163,-0.458076,0,177
16.1719,-0.457966,0,178
16.1828,-0.457838,0,179
16.1914,-0.457741,0,180
16.2025,-0.457623,0,181
16.2109,-0.457536,0,182
16.2223,-0.457426,0,183
16.2305,-0.457347,0,184
16.242,-0.457237,0,185
16.25,-0.45716,0,186
16.2617,-0.457042,0,187
16.2695,-0.456959,0,188
16.2815,-0.456822,0,189
16.2891,-0.456731,0,190
16.3012,-0.456572,0,191
16.3086,-0.456472,0,192
16.321,-0.456294,0,193
16.3281,-0.45619,0,194
16.3409,-0.455995,0,195
16.3477,-0.45589,0,196
16.3607,-0.455673,0,197
16.3672,-0.455563,0,198
16.3806,-0.455311,0,199
16.3867,-0.455191,0,200
16.4006,-0.454888,0,201
16.4062,-0.454758,0,202
16.4206,-0.454399,0,203
16.4258,-0.454264,0,204
16.4407,-0.453845,0,205
16.4453,-0.45371,0,206
16.4608,-0.453215,0,207
16.4648,-0.453082,0,208
16.4811,-0.452477,0,209
16.4844,-0.452348,0,210
16.5015,-0.451592,0,211
16.5039,-0.451482,0,212
16.5221,-0.450543,0,213
16.5234,-0.450473,0,214
16.5415,-0.449219,0,215
16.543,-0.449117,0,216
16.5431,-0.449112,0,217
16.5625,-0.447673,0,218
16.5642,-0.447559,0,219
16.582,-0.44629,0,220
16.5852,-0.446045,0,221
16.6016,-0.444723,0,222
16.6065,-0.444278,0,223
16.6211,-0.44289,0,224
16.6282,-0.442138,0,225
16.6406,-0.440754,0,226
16.6503,-0.439587,0,227
16.6602,-0.438352,0,228
16.6727,-0.436711,0,229
16.6797,-0.435777,0,230
16.6953,-0.433595,0,231
16.6992,-0.433035,0,232
16.7165,-0.429688,0,233
16.7188,-0.429212,0,234
16.7193,-0.42913,0,235
16.7383,-0.425064,0,236
16.7441,-0.423888,0,237
16.7578,-0.421039,0,238
16.7689,-0.418573,0,239
16.7773,-0.418852,0,240
16.7948,-0.412243,0,241
16.7969,-0.411221,0,242
16.7997,-0.410156,0,243
16.8164,-0.404557,0,244
16.8244,-0.402212,0,245
16.8359,-0.398671,0,246
16.8546,-0.391484,0,247
16.8555,-0.391244,0,248
16.8567,-0.390625,0,249
16.875,-0.382635,0,250
16.8888,-0.376797,0,251
16.8945,-0.374711,0,252
16.9007,-0.371094,0,253
16.9141,-0.363934,0,254
16.9289,-0.356217,0,255
16.9336,-0.354143,0,256
16.9371,-0.351562,0,257
16.9531,-0.341643,0,258
16.967,-0.332031,0,259
16.9727,-0.327579,0,260
16.9873,-0.317359,0,261
16.9922,-0.314161,0,262
16.994,-0.3125,0,263
17.0117,-0.298112,0,264
17.0171,-0.292969,0,265
17.0312,-0.279418,0,266
17.0371,-0.273438,0,267
17.0508,-0.258032,0,268
17.0546,-0.253906,0,269
17.0645,-0.240191,0,270
17.0686,-0.234375,0,271
17.0703,-0.23232,0,272
17.0821,-0.214844,0,273
17.0898,-0.202717,0,274
17.095,-0.195312,0,275
17.099,-0.186147,0,276
17.1038,-0.175781,0,277
17.1094,-0.164603,0,278
17.1137,-0.15625,0,279
17.1158,-0.149818,0,280
17.1204,-0.136719,0,281
17.1252,-0.120923,0,282
17.1261,-0.117188,0,283
17.1289,-0.108221,0,284
17.1325,-0.0976562,0,285
17.1329,-0.0936591,0,286
17.1359,-0.078125,0,287
17.1372,-0.0698165,0,288
17.1388,-0.0585938,0,289
17.14,-0.0474568,0,290
17.1409,-0.0390625,0,291
17.1418,-0.0262044,0,292
17.1421,-0.0195312,0,293
17.1425,-0.00590719,0,294
17.1426,0,0,295
14.914,0.0116862,0,296
14.9142,0.0195312,0,297
14.9148,0.0320199,0,298
14.9153,0.0390625,0,299
14.9165,0.0531794,0,300
14.917,0.0585938,0,301
14.9191,0.0753108,0,302
14.9194,0.078125,0,303
14.9219,0.0899318,0,304
14.9235,0.0976562,0,305
14.9239,0.0996519,0,306
14.9278,0.117188,0,307
14.9297,0.125002,0,308
14.9326,0.136719,0,309
14.937,0.151819,0,310
14.9381,0.15625,0,311
14.9414,0.163903,0,312
14.9463,0.175781,0,313
14.9489,0.183276,0,314
14.9534,0.195312,0,315
14.9609,0.210591,0,316
14.9633,0.214844,0,317
14.965,0.218873,0,318
14.9725,0.234375,0,319
14.9805,0.247275,0,320
14.9849,0.253906,0,321
14.991,0.264478,0,322
14.9961,0.273438,0,323
15,0.278234,0,324
15.0107,0.292969,0,325
15.0195,0.303553,0,326
15.0273,0.3125,0,327
15.0391,0.325812,0,328
15.045,0.332031,0,329
15.0586,0.345998,0,330
15.0643,0.351562,0,331
15.0781,0.364359,0,332
15.0856,0.371094,0,333
15.0977,0.381485,0,334
15.1091,0.390625,0,335
15.1172,0.397274,0,336
15.1367,0.410121,0,337
15.1366,0.410073,0,338
15.1368,0.410156,0,339
15.1562,0.421967,0,340
15.169,0.429688,0,341
15.1758,0.434124,0,342
15.1953,0.442841,0,343
15.1835,0.437412,0,344
15.2081,0.449219,0,345
15.2148,0.452821,0,346
15.2344,0.459892,0,347
15.2202,0.454589,0,348
15.2539,0.46616,0,349
15.2503,0.465169,0,350
15.262,0.46875,0,351
15.2734,0.472357,0,352
15.293,0.475286,0,353
15.2778,0.473078,0,354
15.3125,0.475879,0,355
15.2999,0.475681,0,356
15.3906,0.467321,0,357
15.3893,0.467453,0,358
15.3774,0.46875,0,359
15.4102,0.46459,0,360
15.4065,0.465098,0,361
15.4297,0.461931,0,362
15.4237,0.462736,0,363
15.4492,0.459523,0,364
15.441,0.460512,0,365
15.4688,0.457459,0,366
15.4585,0.458509,0,367
15.332,0.474488,0,368
15.3193,0.475519,0,369
15.3516,0.472059,0,370
15.3372,0.47389,0,371
15.3711,0.469436,0,372
15.3545,0.471676,0,373
15.3717,0.469384,0,374
15.4883,0.455774,0,375
15.4763,0.456775,0,376
15.5078,0.454486,0,377
15.4944,0.45534,0,378
15.5273,0.453601,0,379
15.5128,0.454232,0,380
15.5469,0.453113,0,381
15.5316,0.453472,0,382
15.5664,0.453008,0,383
15.5507,0.453073,0,384
15.5859,0.453267,0,385
15.5702,0.45304,0,386
15.6055,0.453861,0,387
15.5901,0.453375,0,388
15.625,0.454759,0,389
15.6103,0.454066,0,390
15.6445,0.455919,0,391
15.6309,0.455091,0,392
15.6641,0.457287,0,393
15.6517,0.456409,0,394
15.6836,0.4588,0,395
15.6728,0.457954,0,396
15.7031,0.460394,0,397
15.694,0.459648,0,398
15.7227,0.461995,0,399
15.7153,0.461395,0,400
15.7422,0.463522,0,401
15.7365,0.463088,0,402
15.7617,0.464885,0,403
15.7576,0.464607,0,404
15.7812,0.466005,0,405
15.7784,0.465851,0,406
15.8008,0.466824,0,407
15.7988,0.46675,0,408
15.8203,0.467309,0,409
15.8188,0.46728,0,410
15.8398,0.467458,0,411
15.8385,0.467455,0,412
15.8594,0.467296,0,413
15.8579,0.467314,0,414
15.8789,0.466865,0,415
15.8771,0.466912,0,416
15.8984,0.466219,0,417
15.896,0.466306,0,418
15.918,0.465429,0,419
15.9148,0.465563,0,420
15.9375,0.464569,0,421
15.9335,0.464747,0,422
15.957,0.463689,0,423
15.9522,0.463907,0,424
15.9766,0.462828,0,425
15.9709,0.463076,0,426
15.9961,0.462013,0,427
15.9896,0.462279,0,428
16.0156,0.461261,0,429
16.0084,0.461533,0,430
16.0352,0.460582,0,431
16.0273,0.46085,0,432
16.0547,0.459978,0,433
16.0462,0.460235,0,434
16.0742,0.459449,0,435
16.0652,0.459689,0,436
16.0938,0.458989,0,437
16.0842,0.459208,0,438
16.1133,0.458594,0,439
16.1033,0.458789,0,440
16.1328,0.458255,0,441
16.1225,0.45843,0,442
16.1523,0.457955,0,443
16.1417,0.458116,0,444
16.1719,0.457683,0,445
16.161,0.457833,0,446
16.1914,0.457435,0,447
16.1802,0.457575,0,448
16.2109,0.45721,0,449
16.1995,0.457339,0,450
16.2305,0.457006,0,451
16.2188,0.457126,0,452
16.25,0.45681,0,453
16.2382,0.456929,0,454
16.2695,0.456602,0,455
16.2575,0.456732,0,456
16.2891,0.456364,0,457
16.2768,0.456516,0,458
16.3086,0.456095,0,459
16.2961,0.456269,0,460
16.3281,0.455805,0,461
16.3154,0.455996,0,462
16.3477,0.455501,0,463
16.3346,0.455705,0,464
16.3672,0.455174,0,465
16.3538,0.4554,0,466
16.3867,0.4548,0,467
16.373,0.455067,0,468
16.4062,0.454359,0,469
16.3922,0.454682,0,470
16.4258,0.453848,0,471
16.4113,0.454232,0,472
16.4453,0.453273,0,473
16.4303,0.453719,0,474
16.4648,0.452622,0,475
16.4492,0.453147,0,476
16.4844,0.451862,0,477
16.4681,0.4525,0,478
16.5039,0.450969,0,479
16.4869,0.451751,0,480
16.5234,0.449953,0,481
16.5056,0.450886,0,482
16.543,0.449035,0,483
16.5428,0.44904,0,484
16.5391,0.449219,0,485
16.5241,0.449924,0,486
16.5625,0.447885,0,487
16.5612,0.447962,0,488
16.582,0.446424,0,489
16.5794,0.446627,0,490
16.6016,0.444722,0,491
16.5974,0.445096,0,492
16.6211,0.442742,0,493
16.6152,0.443357,0,494
16.6406,0.440451,0,495
16.6328,0.441396,0,496
16.6602,0.437825,0,497
16.6501,0.439202,0,498
16.6797,0.434973,0,499
16.6673,0.436796,0,500
16.7188,0.429251,0,501
16.7184,0.429288,0,502
16.7158,0.429688,0,503
16.6992,0.432054,0,504
16.6843,0.434288,0,505
16.7014,0.431887,0,506
16.7194,0.429688,0,507
16.7578,0.420652,0,508
16.7506,0.422452,0,509
16.7497,0.429688,0,510
16.7773,0.418431,0,511
16.7695,0.421797,0,512
16.7969,0.410347,0,513
16.7816,0.41439,0,514
16.875,0.382898,0,515
16.8695,0.385134,0,516
16.8556,0.390625,0,517
16.8164,0.404907,0,518
16.8123,0.406063,0,519
16.7976,0.410156,0,520
16.797,0.410327,0,521
16.8359,0.397722,0,522
16.8269,0.401126,0,523
16.8555,0.390694,0,524
16.8412,0.395933,0,525
16.8555,0.390685,0,526
17.0117,0.296929,0,527
17.0035,0.304243,0,528
16.9933,0.3125,0,529
17.0312,0.278351,0,530
17.0239,0.285598,0,531
17.0161,0.292969,0,532
17.0142,0.295441,0,533
17.1424,0.0135173,0,534
17.1423,0.0195312,0,535
17.1415,0.0321412,0,536
17.141,0.0390625,0,537
17.1399,0.0500101,0,538
17.1388,0.0585938,0,539
17.1375,0.067159,0,540
17.1355,0.078125,0,541
17.1289,0.108339,0,542
17.1273,0.115559,0,543
17.127,0.117188,0,544
17.1355,0.0847246,0,545
17.1318,0.0976562,0,546
17.1309,0.0996141,0,547
17.1227,0.130513,0,548
17.1205,0.136719,0,549
17.1174,0.144749,0,550
17.1125,0.15625,0,551
17.0703,0.232538,0,552
17.0694,0.233425,0,553
17.069,0.234375,0,554
17.1094,0.164124,0,555
17.106,0.172369,0,556
17.1047,0.175781,0,557
17.0995,0.185411,0,558
17.0936,0.195312,0,559
17.0898,0.202097,0,560
17.0851,0.210119,0,561
17.0825,0.214844,0,562
17.0777,0.222263,0,563
17.0926,0.198035,0,564
17.0508,0.256934,0,565
17.0431,0.265771,0,566
17.036,0.273438,0,567
17.0611,0.244716,0,568
17.0534,0.253906,0,569
17.0525,0.255612,0,570
17.0341,0.276284,0,571
17.1118,0.158654,0,572
16.8945,0.373529,0,573
16.8831,0.37915,0,574
16.9141,0.364573,0,575
16.9095,0.366575,0,576
16.8999,0.371094,0,577
16.8964,0.372988,0,578
16.9531,0.341425,0,579
16.9468,0.345242,0,580
16.9363,0.351562,0,581
16.9336,0.353166,0,582
16.9224,0.359918,0,583
16.9348,0.35278,0,584
16.9727,0.328459,0,585
16.9702,0.329595,0,586
16.9674,0.332031,0,587
16.959,0.337953,0,588
16.9922,0.313427,0,589
16.9819,0.321715,0,590
16.9928,0.313158,0,591
